Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL2312470,,0,461.59,1,5.85,6d,Nc1ccc(Sc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1,Inhibition,,,%,,,Not Active,,,,,,FALSE,CHEMBL2318333,Inhibition of Mcl-1 in human K562 cells assessed as disruption of Mcl-1/Bak complexes at 5 uM incubated for 12 hrs by co-immunoprecipitation assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311285,1,Scientific Literature,Bioorg. Med. Chem.,2013,CHEMBL3308378,
CHEMBL1672077,,0,368.42,0,4.62,7a,COc1ccc(Sc2ccc3c4c(cccc24)C2=NC(=O)C(C#N)=C23)cc1,Kd,'=',389.05,nM,6.41,,,UO_0000065,17.4,0.32,1.79,10.26,FALSE,CHEMBL2318343,Binding affinity to cMcl-1 (residues 171 to 327) (unknown origin) by ITC assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311285,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL2312484,,0,399.52,1,5.02,6b,CCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13,Kd,'=',50.12,nM,7.3,,,UO_0000065,18.27,0.34,2.28,10.82,FALSE,CHEMBL2318343,Binding affinity to cMcl-1 (residues 171 to 327) (unknown origin) by ITC assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311285,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL2312470,,0,461.59,1,5.85,6d,Nc1ccc(Sc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1,IC50,'=',10,nM,8,,,UO_0000065,17.33,0.32,2.15,11.86,FALSE,CHEMBL2318342,Binding affinity to cMcl-1 (residues 171 to 327) (unknown origin) by biotin-Bim displacement based ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311285,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL2312484,,0,399.52,1,5.02,6b,CCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13,Kd,'=',512,nM,6.29,,,UO_0000065,15.75,0.3,1.27,9.32,FALSE,CHEMBL2318343,Binding affinity to cMcl-1 (residues 171 to 327) (unknown origin) by ITC assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2311285,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL4452403,,0,581.11,1,3.89,9,CN1C/C=C/[C@H](O)[C@@H]2CC[C@H]2CN2C[C@@]3(CCCc4cc(Cl)ccc43)COc3ccc(cc32)[C@@](O)(C(=O)O)CC1=O,IC50,'=',5,nM,8.3,,,UO_0000065,14.28,0.28,4.41,7.51,FALSE,CHEMBL4356586,Inhibition of recombinant C-terminal His6x-tagged human Mcl-1 (171 to 327 residues) interaction with biotinylated human Bim (51 to 76 residues) incubated for 60 mins in presence of 0.05 nM biotin-Bim by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4354823,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL1509165,,0,472.5,0,3.63,SID24822916,Cc1ccc(NC(=O)CN2C(=O)N/C(=C/c3cc(C)n(-c4ccc(C(=O)O)cc4)c3C)C2=O)cc1,IC50,'=',4551.21,nM,5.34,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1407474,,0,356.37,0,-0.72,SID26657917,O=C(O)CC(CCc1ccccc1)OC1OC(CO)C(O)C(O)C1O,IC50,'=',1606.11,nM,5.79,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1587715,,0,413.1,0,4.89,SID24787958,CN=c1ccc(Br)cc(C(=O)/C=C/c2cccc(Cl)c2Cl)c1O,IC50,'=',2632.41,nM,5.58,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL3213353,,0,276.25,0,-0.33,SID17504944,CC1C(=O)NN=C1C(=O)N/N=C\c1ccc(O)cc1O,IC50,'=',7718.77,nM,5.11,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1392551,,0,420.56,0,4.38,SID17504227,CC1(c2ccccc2)CC(C)(C)N2C(=O)/C(=C3\SC(=S)NC3=O)c3cccc1c32,IC50,'=',1184.67,nM,5.93,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL1432920,,0,404.47,0,4.46,SID24782308,CC(C)CCOc1ccc(/C=C2\CCn3c2nc2cc(C(=O)O)ccc2c3=O)cc1,IC50,'=',7185.96,nM,5.14,,Active,UO_0000065,,,,,FALSE,CHEMBL1614529,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)],F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,
CHEMBL3298854,,0,366.46,0,3.99,4,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCc4ccc(O)c(O)c4)[C@H]4C=C[C@@H]1[C@@H]2[C@@H]34,Ki,'=',5200,nM,5.28,,,UO_0000065,14.42,0.27,1.29,6.8,FALSE,CHEMBL3362966,Displacement of fluorescein-labeled BID from His-tagged MCL-1 (unknown origin) after 1 hr by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297727,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL1927339,,0,172.19,0,1.08,4a,N#C/C(=C\c1ccccc1)C(N)=O,Kd,'=',2187.76,nM,5.66,,,UO_0000065,32.87,0.59,4.58,8.46,FALSE,CHEMBL2345532,Binding affinity to his-tagged Mcl-1 (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by ITC analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,BL21-DE3,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2331511,1,Scientific Literature,Eur. J. Med. Chem.,2013,None,
CHEMBL1269074,,0,626.75,2,7.63,BDBM142752,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCC3CCCCC3)C2=O)C(=O)c2cc(O)c(O)c(CCC3CCCCC3)c2C1=O,IC50,'=',5900,nM,5.23,,278928,UO_0000065,8.34,0.16,-2.4,3.5,FALSE,CHEMBL3707894,Fluorescence Polarization Assay: A Bak BH3 peptide (F-BakBH3) (GQVGRQLAIIGDDINR (SEQ ID NO:1)) was labeled at the N-terminus with fluorescein isothiocyanate (FITC) (Molecular Probes) and purified by HPLC. For competitive binding assays,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3342332,A-1155463,0,669.8,2,6.33,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4534654,,0,456.55,0,4.31,4,O=C(CCSc1ccc(NS(=O)(=O)c2ccccc2)c(C(=O)O)c1)Nc1ccccc1,Ki,'=',13100,nM,4.88,,,UO_0000065,10.69,0.22,0.57,4.34,FALSE,CHEMBL4344313,Inhibition of N-terminal His6-tagged human Mcl1 expressed in Escherichia coli Rosetta2 DE3 by fluorescent labeled Flu-Bid peptide based fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4342462,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4463305,,0,490.61,1,5.58,18,O=C(O)c1cc(SCCc2ccccc2)ccc1NS(=O)(=O)c1ccc(-c2ccccc2)nc1,Ki,'=',200,nM,6.7,,,UO_0000065,13.65,0.27,1.12,6.95,FALSE,CHEMBL4344313,Inhibition of N-terminal His6-tagged human Mcl1 expressed in Escherichia coli Rosetta2 DE3 by fluorescent labeled Flu-Bid peptide based fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4342462,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4475729,,0,497.64,0,4.2,20,O=C(O)c1cc(SCCc2ccccc2)ccc1NS(=O)(=O)N1CCN(c2ccccc2)CC1,Ki,'=',570,nM,6.24,,,UO_0000065,12.55,0.25,2.04,6.94,FALSE,CHEMBL4344313,Inhibition of N-terminal His6-tagged human Mcl1 expressed in Escherichia coli Rosetta2 DE3 by fluorescent labeled Flu-Bid peptide based fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4342462,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL3298851,,0,350.46,0,4.29,1,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@@H]34,Inhibition,'=',0,%,,,,UO_0000187,,,,,FALSE,CHEMBL3362965,Displacement of fluorescein-labeled BID from His-tagged MCL-1 (unknown origin) at 100 uM after 1 hr by fluorescence polarization assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297727,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL3298853,,0,406.57,1,5.85,3,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCCCCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@@H]34,Inhibition,'=',82,%,,,,UO_0000187,,,,,FALSE,CHEMBL3362965,Displacement of fluorescein-labeled BID from His-tagged MCL-1 (unknown origin) at 100 uM after 1 hr by fluorescence polarization assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297727,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL3298857,,0,394.51,0,4.18,7,O=C(O)C1=C[C@H](O)[C@@H]2C[C@H]3[C@H](CCCCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@@H]34,Inhibition,'=',3,%,,,,UO_0000187,,,,,FALSE,CHEMBL3362965,Displacement of fluorescein-labeled BID from His-tagged MCL-1 (unknown origin) at 100 uM after 1 hr by fluorescence polarization assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297727,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL3298851,,0,350.46,0,4.29,1,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@@H]34,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL3362966,Displacement of fluorescein-labeled BID from His-tagged MCL-1 (unknown origin) after 1 hr by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297727,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL4553660,,0,814.45,1,3.48,24,CN1CC/C=C/[C@H](OCCN2CCOCC2)[C@@H]2CC[C@H]2CN2C[C@@]3(CCCc4cc(Cl)ccc43)COc3ccc(cc32)[C@@](O)(C(=O)NS(=O)(=O)N(C)C)CC1=O,IC50,'=',0.2,nM,9.7,,,UO_0000065,11.91,0.24,6.22,6.87,FALSE,CHEMBL4356586,Inhibition of recombinant C-terminal His6x-tagged human Mcl-1 (171 to 327 residues) interaction with biotinylated human Bim (51 to 76 residues) incubated for 60 mins in presence of 0.05 nM biotin-Bim by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4354823,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4528866,,0,367.75,0,4.61,18,Cc1ccc(F)cc1S(=O)(=O)Nc1cc(C(F)(F)F)ccc1Cl,IC50,'=',5500,nM,5.26,,,UO_0000065,14.3,0.31,0.65,11.39,FALSE,CHEMBL4390349,Inhibition of FITSI-labelled BID binding to human MCl-1 (171 to 327 residues) expressed in Escherichia coli BL21 (DE3) by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4387763,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,
CHEMBL4573015,,0,525.48,2,6.34,15,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCNC3=O)cc(C)c1Cl,Ki,'=',35,nM,7.46,,,UO_0000065,14.19,0.28,1.12,12.21,FALSE,CHEMBL4385917,Inhibition of FITC-labeled Bim peptide binding to His6-tagged MBP-fused Mcl-1 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4385603,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4449014,,0,712.68,2,9.01,41,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)[C@H](C)CN(c2cn(C)c4cc(C(=O)O)ccc24)C3=O)cc(C)c1Cl,Ki,'=',0.38,nM,9.42,,,UO_0000065,13.22,0.26,0.41,9.97,FALSE,CHEMBL4385920,Inhibition of FITC-labeled Bak peptide binding to MBP-fused Mcl-1 (unknown origin) measured after 3 hrs in presence of 1% fetal bovine serum by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4385603,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4558364,,0,539.51,2,6.73,2,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCNC3=O)cc(C)c1Cl,Ki,'=',12,nM,7.92,,,UO_0000065,14.68,0.29,1.19,12.97,FALSE,CHEMBL4385917,Inhibition of FITC-labeled Bim peptide binding to His6-tagged MBP-fused Mcl-1 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4385603,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4451208,,0,673.64,2,8.51,21,Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)[C@@H](C)CN(Cc2ccc(C(=O)O)cc2)C3=O)cc(C)c1Cl,Ki,'=',35,nM,7.46,,,UO_0000065,11.07,0.22,-1.05,8.32,FALSE,CHEMBL4385917,Inhibition of FITC-labeled Bim peptide binding to His6-tagged MBP-fused Mcl-1 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4385603,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL3926594,,0,408.49,1,5.67,BDBM231606,O=C(Nc1cccnc1)c1cc(-c2nccs2)nc2ccc(-c3ccccc3)cc12,IC50,'=',2400,nM,5.62,,404250,UO_0000065,1376.00%,26.00%,-0.05,8.29,FALSE,CHEMBL3888497,Biotin Assay: A streptavidin-coated plate (Thermo Scientific,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1824809,,0,512.41,2,6.36,13a,O=C(NS(=O)(=O)c1ccc(OCc2ccccc2)cc1)c1ccc(-c2cc(Cl)cc(Cl)c2)cc1,IC50,'=',6300,nM,5.2,,,UO_0000065,10.15,0.21,-1.16,7.18,FALSE,CHEMBL1825443,Displacement of FITC labeled Bak BH3 peptide from Mcl-1 after 2 mins by Fluorescence Polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821700,1,Scientific Literature,J. Med. Chem.,2011,None,
